row,column,value,bus_id,stop_id,grey,day,pax,pax_type,pax_round,pax_floor
575,218.392,#F7FAFF,5,16,253.2,Mon,0.203389830508474,boarding,0,0
600,218.392,#DAE3EC,5,17,232.4,Mon,2.55367231638418,boarding,3,2
625,218.392,#F1F5FE,5,18,250.9,Mon,0.463276836158194,boarding,0,0
650,218.392,#ADCDE2,5,19,216.5,Mon,4.35028248587571,boarding,4,4
675,218.392,#C2D2E1,5,20,218.9,Mon,4.07909604519774,boarding,4,4
700,218.392,#CBE9FF,5,21,245.4,Mon,1.08474576271186,boarding,1,1
725,218.392,#BCE0F0,5,22,231.6,Mon,2.64406779661017,boarding,3,2
200,221.24,#F7FAFF,6,1,253.2,Mon,0.203389830508474,boarding,0,0
225,221.24,#F7FAFF,6,2,253.2,Mon,0.203389830508474,boarding,0,0
250,221.24,#F9FCFF,6,3,253.8,Mon,0.135593220338979,boarding,0,0
275,221.24,#F0F4FD,6,4,249.9,Mon,0.576271186440675,boarding,1,0
300,221.24,#EEF8FF,6,5,251.9,Mon,0.350282485875702,boarding,0,0
325,221.24,#F8FCFF,6,6,253.7,Mon,0.146892655367232,boarding,0,0
350,221.24,#DEEBF3,6,7,239.3,Mon,1.77401129943502,boarding,2,1
375,221.24,#EFF2F9,6,8,246.6,Mon,0.949152542372879,boarding,1,0
400,221.24,#E4EDF6,6,9,242.4,Mon,1.42372881355932,boarding,1,1
425,221.24,#D9E5F1,6,10,236.2,Mon,2.12429378531073,boarding,2,2
450,221.24,#B8D6F0,6,11,229.2,Mon,2.91525423728814,boarding,3,2
475,221.24,#D5EAEB,6,12,232.6,Mon,2.53107344632768,boarding,3,2
500,221.24,#F5FCFF,6,13,253.4,Mon,0.180790960451976,boarding,0,0
525,221.24,#4A96C7,6,14,176.7,Mon,8.84745762711864,boarding,9,8
550,221.24,#BBD6EB,6,15,226,Mon,3.27683615819209,boarding,3,3
575,221.24,#F7FAFF,6,16,253.2,Mon,0.203389830508474,boarding,0,0
600,221.24,#C5DFF0,6,17,232.3,Mon,2.56497175141243,boarding,3,2
625,221.24,#F1F5FE,6,18,250.9,Mon,0.463276836158194,boarding,0,0
650,221.24,#9AC3DF,6,19,210.5,Mon,5.02824858757062,boarding,5,5
675,221.24,#DAEAF9,6,20,242.9,Mon,1.36723163841808,boarding,1,1
700,221.24,#E7EAEF,6,21,237.2,Mon,2.01129943502825,boarding,2,2
725,221.24,#FCF8FF,6,22,253.3,Mon,0.192090395480221,boarding,0,0
200,224.088,#F7FAFF,7,1,253.2,Mon,0.203389830508474,boarding,0,0
225,224.088,#F7FAFF,7,2,253.2,Mon,0.203389830508474,boarding,0,0
250,224.088,#F8FBFF,7,3,253.5,Mon,0.169491525423727,boarding,0,0
275,224.088,#EEF5FD,7,4,249.9,Mon,0.576271186440678,boarding,1,0
300,224.088,#DAEAF7,7,5,241.5,Mon,1.52542372881356,boarding,2,1
325,224.088,#F8FDFF,7,6,253.9,Mon,0.12429378531073,boarding,0,0
350,224.088,#E8F6FF,7,7,250.9,Mon,0.46327683615819,boarding,0,0
375,224.088,#F7FAFF,7,8,253.2,Mon,0.203389830508474,boarding,0,0
400,224.088,#E3EDF9,7,9,244.4,Mon,1.19774011299435,boarding,1,1
425,224.088,#EEF8FF,7,10,251.9,Mon,0.350282485875702,boarding,0,0
450,224.088,#F3FBFD,7,11,251.6,Mon,0.38418079096045,boarding,0,0
475,224.088,#95C0E0,7,12,210.1,Mon,5.07344632768362,boarding,5,5
500,224.088,#EFF4FA,7,13,247.7,Mon,0.824858757062145,boarding,1,0
525,224.088,#DAEBFF,7,14,247.3,Mon,0.870056497175138,boarding,1,0
550,224.088,#A4CEE7,7,15,219.3,Mon,4.03389830508474,boarding,4,4
575,224.088,#F7FAFF,7,16,253.2,Mon,0.203389830508474,boarding,0,0
600,224.088,#ADCDE2,7,17,216.5,Mon,4.35028248587571,boarding,4,4
625,224.088,#F2F7FD,7,18,250.7,Mon,0.485875706214689,boarding,0,0
650,224.088,#A9CCE0,7,19,214.5,Mon,4.57627118644068,boarding,5,4
675,224.088,#D9E9F6,7,20,240.5,Mon,1.63841807909604,boarding,2,1
700,224.088,#CFE9F6,7,21,239.5,Mon,1.75141242937853,boarding,2,1
725,224.088,#DEF1F7,7,22,243.3,Mon,1.32203389830508,boarding,1,1
200,226.936,#F7FAFF,8,1,253.2,Mon,0.203389830508474,boarding,0,0
225,226.936,#EFF2F7,8,2,245.2,Mon,1.10734463276836,boarding,1,1
250,226.936,#F6FBFF,8,3,253.3,Mon,0.192090395480221,boarding,0,0
275,226.936,#DBE8EE,8,4,234.9,Mon,2.27118644067796,boarding,2,2
300,226.936,#F5FEFF,8,5,253.8,Mon,0.135593220338979,boarding,0,0
325,226.936,#F6FAFF,8,6,253.1,Mon,0.214689265536723,boarding,0,0
350,226.936,#F9FCFF,8,7,253.8,Mon,0.135593220338979,boarding,0,0
375,226.936,#F7FAFF,8,8,253.2,Mon,0.203389830508474,boarding,0,0
400,226.936,#F7FAFF,8,9,253.2,Mon,0.203389830508474,boarding,0,0
425,226.936,#F1FCFE,8,10,252.3,Mon,0.305084745762713,boarding,0,0
450,226.936,#B2D1F0,8,11,227.6,Mon,3.09604519774011,boarding,3,3
475,226.936,#E8EBFA,8,12,245.2,Mon,1.10734463276836,boarding,1,1
500,226.936,#F9FCFF,8,13,253.8,Mon,0.135593220338979,boarding,0,0
525,226.936,#98C2DB,8,14,207.3,Mon,5.38983050847457,boarding,5,5
550,226.936,#CFF0FF,8,15,247.2,Mon,0.881355932203388,boarding,1,0
575,226.936,#F7FAFF,8,16,253.2,Mon,0.203389830508474,boarding,0,0
600,226.936,#F9F9FF,8,17,253.2,Mon,0.203389830508474,boarding,0,0
625,226.936,#F9FCFF,8,18,253.8,Mon,0.135593220338979,boarding,0,0
650,226.936,#C9E4F5,8,19,237.2,Mon,2.01129943502825,boarding,2,2
675,226.936,#F4F9FC,8,20,250.6,Mon,0.497175141242941,boarding,0,0
700,226.936,#D7E8F8,8,21,241.5,Mon,1.52542372881356,boarding,2,1
725,226.936,#EFEFF9,8,22,246,Mon,1.01694915254237,boarding,1,1
200,229.784,#F7FAFF,9,1,253.2,Mon,0.203389830508474,boarding,0,0
225,229.784,#F7FAFF,9,2,253.2,Mon,0.203389830508474,boarding,0,0
250,229.784,#EEF3F7,9,3,245.3,Mon,1.09604519774011,boarding,1,1
275,229.784,#F0F9FE,9,4,251.6,Mon,0.38418079096045,boarding,0,0
300,229.784,#EDF4FA,9,5,247.5,Mon,0.847457627118644,boarding,1,0
325,229.784,#EEF2FB,9,6,247.9,Mon,0.802259887005651,boarding,1,0
350,229.784,#FDFBFC,9,7,251.9,Mon,0.350282485875706,boarding,0,0
375,229.784,#F7FBFE,9,8,252.7,Mon,0.259887005649716,boarding,0,0
400,229.784,#D8EFFF,9,9,247.9,Mon,0.802259887005647,boarding,1,0
425,229.784,#D3E0E9,9,10,229,Mon,2.93785310734463,boarding,3,2
450,229.784,#3F87B7,9,11,161.4,Mon,10.5762711864407,boarding,11,10
475,229.784,#A6CFE1,9,12,215.5,Mon,4.46327683615819,boarding,4,4
500,229.784,#EEF3F9,9,13,246.7,Mon,0.937853107344633,boarding,1,0
525,229.784,#55A2CE,9,14,185.1,Mon,7.89830508474576,boarding,8,7
550,229.784,#A2CDDE,9,15,212.6,Mon,4.7909604519774,boarding,5,4
575,229.784,#F7FAFF,9,16,253.2,Mon,0.203389830508474,boarding,0,0
600,229.784,#D4DEE8,9,17,228,Mon,3.05084745762712,boarding,3,3
625,229.784,#EFF2F7,9,18,245.2,Mon,1.10734463276836,boarding,1,1
650,229.784,#BAD6EB,9,19,225.9,Mon,3.28813559322034,boarding,3,3
675,229.784,#B6D4EE,9,20,227.2,Mon,3.14124293785311,boarding,3,3
700,229.784,#C0D3E4,9,21,221,Mon,3.84180790960452,boarding,4,3
725,229.784,#F8F8FF,9,22,252.9,Mon,0.237288135593218,boarding,0,0
200,232.632,#F7FAFF,10,1,253.2,Mon,0.203389830508474,boarding,0,0
225,232.632,#F7FAFF,10,2,253.2,Mon,0.203389830508474,boarding,0,0
250,232.632,#F6FBFF,10,3,253.3,Mon,0.192090395480221,boarding,0,0
275,232.632,#F7FAFF,10,4,253.2,Mon,0.203389830508474,boarding,0,0
300,232.632,#F6FBFF,10,5,253.3,Mon,0.192090395480221,boarding,0,0
325,232.632,#F6FAFF,10,6,253.1,Mon,0.214689265536723,boarding,0,0
350,232.632,#EDF6FF,10,7,251.4,Mon,0.406779661016948,boarding,0,0
375,232.632,#F7FAFF,10,8,253.2,Mon,0.203389830508474,boarding,0,0
400,232.632,#CCE2F0,10,9,233.6,Mon,2.41807909604519,boarding,2,2
425,232.632,#F1F4F9,10,10,247.2,Mon,0.881355932203388,boarding,1,0
450,232.632,#52A6D4,10,11,189.8,Mon,7.36723163841808,boarding,7,7
475,232.632,#F7FBFF,10,12,253.4,Mon,0.180790960451976,boarding,0,0
500,232.632,#F6FDFF,10,13,253.7,Mon,0.146892655367232,boarding,0,0
525,232.632,#CBE3FB,10,14,241.4,Mon,1.53672316384181,boarding,2,1
550,232.632,#DBE7F7,10,15,241,Mon,1.5819209039548,boarding,2,1
575,232.632,#F7FAFF,10,16,253.2,Mon,0.203389830508474,boarding,0,0
600,232.632,#E8F8FF,10,17,251.3,Mon,0.418079096045194,boarding,0,0
